question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
The innermost layer of the gastrointestinal tract is named as,Serosa,Sub mucosa,Mucosa,Muscularis Externa,C,"The GI wall has four layers from inside to outside: mucosa, submucosa, muscularis externa and serosa. Mucosa is the innermost lining used for secretion and absorption.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 1 | Anatomy"
Which layer controls motility of the digestive tract?,Lamina propria layer,Submucosa layer,Muscle layer,Serosa layer,C,"The muscularis externa (inner circular and outer longitudinal muscle) produces peristalsis and segmentation. The serosa is only an outer covering; submucosa contains vessels, glands and the submucosal plexus.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Anatomy"
Which among the following layer of coronary blood vessels gets blocked and narrowed by fatty substances in atherosclerosis?,Tunica Media,Tunica Adventitia,Tunica intima,Tunica mucosa,C,"Atherosclerotic plaque forms in the tunica intima, the innermost vessel layer. This narrows the lumen of coronary arteries and reduces myocardial blood flow.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 1 | Anatomy"
Which layer of the nasal cavity warms the inspired air during inhalation?,Buccopharyngobasilar fascia,Respiratory mucosa,Pharyngobasilar fascia,Olfactory mucosa,B,"Respiratory mucosa lining the nasal cavity is highly vascular. It warms, humidifies and filters inspired air. Olfactory mucosa is for smell, mainly in the roof of the nose.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 1 | Anatomy"
Which of the following best describes the role of the paranasal sinuses in respiration?,They enhance the voice resonance and lighten the skull,They produce surfactant for efficient gas exchange,They regulate the pH of inhaled air,They filter and warm the air before it reaches the lungs,A,"Paranasal sinuses lighten the skull and add resonance to the voice. Warming and filtering of air is mainly done by nasal mucosa and turbinates, not by the sinuses.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Anatomy"
Which nerve is responsible for adductor muscle of thigh and skin of medial aspect of thigh?,Iliohypogastric nerve,Phrenic nerve,Obturator nerve,Musculocutaneous nerve,C,The obturator nerve (L2-L4) supplies the adductor muscles of the thigh and skin on the medial thigh. The phrenic nerve supplies the diaphragm; musculocutaneous supplies the anterior arm.,"Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 1 | Anatomy"
Which extraocular muscle is primarily responsible for abduction of the eye and outward rotation of the eyeball?,Superior rectus,Medial rectus,Lateral rectus,Inferior rectus,C,Lateral rectus abducts the eye (turns it outward). It is supplied by the abducens nerve (CN VI). Medial rectus adducts; superior and inferior rectus mainly elevate and depress.,"Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Anatomy"
Which artery supplies blood to the muscles of the proximal leg and knee joint?,Lateral plantar artery,Peroneal artery,Inferior mesenteric artery,Popliteal artery,D,"The popliteal artery, continuation of the femoral artery behind the knee, supplies the knee joint and proximal leg. The peroneal (fibular) artery supplies the lateral leg more distally; IMA supplies hindgut.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Anatomy"
Which of the muscle dysfunction results in Urinary retention?,dartos,cremaster muscles,Detrusor Muscles,Levator ani,C,"The detrusor muscle of the bladder wall contracts to empty urine. Weak or inhibited detrusor function causes the bladder to fail to empty, producing urinary retention.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Anatomy"
"When one kidney fails to develop while other kidney is present with normal size, position and function, this congenital disease is called--------.",Renal dysplasia,Horseshoe kidney,Phimosis,Renal agenesis,D,Unilateral renal agenesis means one kidney never formed. The opposite kidney is usually normal and hypertrophies. Horseshoe kidney is fusion of the lower poles; phimosis is a foreskin problem.,"Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 1 | Anatomy"
Where is kidney located?,Oesophagus,Aorta,Urethra,Abdomen,D,"The kidneys lie in the retroperitoneal abdomen, one on each side of the spine below the rib cage. The right kidney is slightly lower than the left because of the liver.","Previous Year - RRB Staff Nurse 2019, 20 July Shift III | Anatomy"
Which one of the following is the last part of the small intestine?,Ileum,Jejunum,Duodenum,Appendix,A,"The small intestine order is duodenum, jejunum, then ileum. The ileum joins the caecum at the ileocaecal valve. The appendix is attached to the caecum, not part of the small intestine.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Anatomy"
Which one of the following is a function of the liver?,Synthesis of plasma protein,Elimination of carbohydrates,Concentration of bile,Secretion of cholecystokinin,A,"Hepatocytes synthesize plasma proteins such as albumin and clotting factors. Bile is concentrated in the gallbladder. CCK is secreted by duodenal I cells, not by the liver.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Anatomy"
Where does the fertilization takes place?,Infundibulum,Ovary,Ampulla,Isthmus,C,"Fertilization normally occurs in the ampulla of the fallopian tube, the widest part. The ovary releases the ovum; the infundibulum catches it; the isthmus is the narrower medial segment.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Anatomy"
Which one of the following is the Master gland of the body?,Adrenal gland,Parathyroid gland,Thyroid gland,Pituitary gland,D,"The pituitary (hypophysis) at the base of the brain controls other endocrine glands through tropic hormones, so it is called the master gland. It is itself regulated by the hypothalamus.","Previous Year - RRB Staff Nurse 2019, 20 July Shift III | Anatomy"
Where is oxytocin synthesized?,Paraventricular nuclei of the hypothalamus,Para axial nuclei of the hypothalamus,Hypophyseal portal plexus,Hypothalamo Epiphyseal plexus,A,Oxytocin is made in the paraventricular (and supraoptic) nuclei of the hypothalamus and stored in the posterior pituitary. It is released during labour and milk ejection.,"Previous Year - RRB Staff Nurse 2019, 20 July Shift III | Anatomy"
What is the name of the muscle that extends from the sphenoid bone to the mandible?,Pterygoid,Masseter,Sternocleidomastoid,Trapezius,A,"The medial and lateral pterygoid muscles arise from the pterygoid process of the sphenoid and insert on the mandible. They help in chewing (protrusion, side-to-side movement, and opening).","Previous Year - RRB Staff Nurse 2019, 20 July Shift III | Anatomy"
Which structures act as wires of a telephone in the body?,Muscles,Nerves,Arteries,Veins,B,"Nerves carry electrical impulses between the brain/spinal cord and body parts, like telephone wires carrying signals. Arteries and veins carry blood; muscles produce movement.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Anatomy"
The Brodmann area number that corresponds to the primary visual cortex is,Three,Seventeen,Forty one,Four,B,Primary visual cortex is Brodmann area 17 in the occipital lobe around the calcarine sulcus. Area 4 is primary motor cortex; area 41 is primary auditory cortex; area 3 is somatosensory.,"Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Anatomy"
