question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
पियाजे के संज्ञानात्मक विकास के चार चरणों का सही क्रम है:,"संवेदी क्रियात्मक, औपचारिक संक्रियात्मक, पूर्व संक्रियात्मक, स्थूल संक्रियात्मक।","पूर्व संक्रियात्मक, स्थूल संक्रियात्मक, संवेदी क्रियात्मक, औपचारिक संक्रियात्मक।","संवेदी क्रियात्मक, पूर्व संक्रियात्मक, स्थूल संक्रियात्मक, औपचारिक संक्रियात्मक।","पूर्व संक्रियात्मक, औपचारिक संक्रियात्मक, स्थूल संक्रियात्मक, संवेदी क्रियात्मक।",C,सही उत्तर (C) है। पियाजे क्रम: संवेदी-क्रियात्मक (0-2) → पूर्व/प्राक्-संक्रिया (2-7) → मूर्त/स्थूल संक्रिया (7-11) → औपचारिक संक्रिया (11+)। (A) औपचारिक को दूसरे स्थान पर रखता है। (B) संवेदी-क्रिया को बीच में डालता है। (D) क्रम पूरी तरह उल्टा-मिश्रित है। आयु के साथ क्रम याद रखना CG TET का मूल प्रश्न है।,Previous Year - CG TET 2016 Paper 1
एक बच्ची जो कहती है कि चोरी करना गलत है क्योंकि वह पकड़ी जा सकती है। वह कोलबर्ग की ____ अवस्था में है।,सजा तथा आज्ञाकारिता (चरण-1),"व्यक्ति केंद्रित, प्रयोजन तथा विनिमय (चरण-2)",अच्छा लड़का या अच्छी लड़की (चरण-3),अधिकार तथा सामाजिक व्यवस्था बनाना (चरण-4),A,"सही उत्तर (A) है। पकड़े जाने का डर बाहरी दंड है—पूर्व-पारंपरिक स्तर का चरण-1 (Punishment-Obedience)। (B) चरण-2 लाभ-हानि/लेन-देन है, यहाँ लेन-देन नहीं दंड है। (C) दूसरों की स्वीकृति पारंपरिक स्तर है। (D) कानून-व्यवस्था चरण-4 है। CG TET उदाहरण से स्तर पहचानने को कहता है, नाम रटने भर से नहीं।",Previous Year - CG TET 2016 Paper 1
एक बड़ा बच्चा छोटे बच्चे को शब्द पहेली पूरा करने में सहायता कर रहा है तथा संकेत देता है। बड़ा बच्चा:,रटने में छोटे बच्चे की मदद कर रहा है।,समझने में छोटे बच्चे की मदद कर रहा है।,चर्चा के माध्यम से छोटे बच्चे की मदद कर रहा है।,स्केफोल्डिंग कर रहा है।,D,"सही उत्तर (D) है। वायगोत्सकी: अधिक जानकार अन्य (MKO) अस्थायी सहारा देकर उस कार्य तक पहुँचाता है जो बच्चा अकेले नहीं कर सकता—Scaffolding। (A) रटना यांत्रिक स्मृति है, ZPD सहायता नहीं। (B)(C) आंशिक रूप से हो सकते हैं, पर प्रश्न का तकनीकी पद स्केफोल्डिंग है। परीक्षा में सबसे सटीक सिद्धांत-शब्द चुनें।",Previous Year - CG TET 2016 Paper 1
ऊषा परिवेश की नई विशेषताओं को अपने चिन्तन में सम्मिलित करने हेतु विद्यमान स्कीम में संशोधन कर रही है। वह कर रही है:,व्यवस्थापन,समावेशीकरण,समायोजन,पहचान,C,"सही उत्तर (C) समायोजन/समंजन (Accommodation) है—पुरानी स्कीमा को नई जानकारी के अनुरूप बदलना। (A) व्यवस्थापन सामान्य संगठन है, पियाजे पद नहीं। (B) समावेशीकरण शिक्षा-नीति का शब्द है, आत्मसातन से भ्रम होता है। (D) पहचान व्यक्तित्व/एरिक्सन पक्ष है। स्कीमा बदलना = समंजन; स्कीमा में फिट करना = आत्मसातन।",Previous Year - CG TET 2016 Paper 1
सक्रिय अनुबन्धन सिद्धान्त को कहते हैं :,उद्दीपन – अनुक्रिया (S – R),अनुक्रिया – उद्दीपन (R – S),(A) तथा (B) दोनों उत्तर,उद्दीपन – अनुक्रिया – पुनर्बलन (S1-R-S2),B,"सही उत्तर (B) है। स्किनर के ऑपरेंट/सक्रिय अनुबंधन में जीव पहले अनुक्रिया करता है, फिर परिणाम (पुनर्बलन/दंड) उद्दीपन बनता है—R-S। (A) S-R शास्त्रीय/थॉर्नडाइक कनेक्शनवाद की भाषा है। (C) दोनों को एक नहीं माना जाता। (D) मिश्रित सूत्र स्किनर का मानक नाम नहीं। CG TET में Pavlov=S-R क्लासिकल, Skinner=R-S ऑपरेंट।",Previous Year - CG TET 2017 Paper 1
पूर्वसंक्रियात्मक चिंतन की विशेषता है :,केन्द्रिता,अविनाशिता,क्षैतिज डिक्लेज,ए.बी. त्रुटि,A,"सही उत्तर (A) केन्द्रिता (Centration) है—2-7 वर्ष का बच्चा स्थिति के एक ही पहलू (जैसे लंबाई) पर अटकता है, इसलिए संरक्षण नहीं कर पाता। (B) अविनाशिता/संरक्षण मूर्त संक्रिया की उपलब्धि है। (C) क्षैतिज डेक्लाज भिन्न कार्यों में असमान प्रदर्शन बाद की चर्चा है, पूर्व-संक्रिया की मुख्य पहचान नहीं। (D) A-not-B त्रुटि संवेदी-क्रिया अवस्था की है।",Previous Year - CG TET 2017 Paper 1
वायगोत्सकी के संज्ञानात्मक विकास के सिद्धांत में ‘स्केफोल्डिंग’ का अर्थ :,ऐसे कार्यों की श्रृंखला जो बहुत कठिन है।,सहायता के स्तर को बदलना।,अधिक निपुण साथियों का एक शिक्षक के रूप में उपयोग करना।,बच्चों के जेड.डी.पी. को प्रभावशाली तरीके से मापन करना।,C,"सही उत्तर (C) है। CG TET 2017 कुंजी स्केफोल्डिंग को MKO/निपुण साथी द्वारा सहारे से जोड़ती है। (A) बहुत कठिन कार्य ZPD से ऊपर है, सहारा व्यर्थ। (B) सहायता घटाना-बढ़ाना स्केफोल्डिंग का भाग है, पर इस पेपर का सर्वाधिक उपयुक्त विकल्प साथी-शिक्षक उपयोग है। (D) ZPD मापन स्केफोल्डिंग नहीं, आकलन है।",Previous Year - CG TET 2017 Paper 1
आत्मसातन व समंजन में मुख्य अंतर है कि :,"आत्मसातन वर्तमान ढांचे का उपयोग है, जबकि समंजन नये ढांचे का सृजन है।","समंजन वर्तमान ढांचे का उपयोग है, जबकि आत्मसातन नये ढांचे का सृजन है।",आत्मसातन समंजन के बिना नहीं हो सकता।,समंजन आत्मसातन की तुलना में जल्दी प्राप्त होता है।,A,"सही उत्तर (A) है। Assimilation = पुरानी स्कीमा में नई चीज़ फिट; Accommodation = स्कीमा बदलना/नई बनाना। (B) दोनों पद उल्टे हैं। (C) दोनों स्वतंत्र प्रक्रियाएँ हैं, संतुलन दोनों से आता है; एक के बिना दूसरा ‘असंभव’ नहीं। (D) गति की तुलना मानक सिद्धांत नहीं। शिक्षण: बच्चे को अनुभव दो ताकि स्कीमा विस्तारित हों।",Previous Year - CG TET 2017 Paper 1
जब एक कीमोथेरापी पर चल रहे मरीज को अस्पताल देखते ही उल्टी जैसा लगे तब अस्पताल हो गया है,यू.आर.,सी.आर.,यू.एस.,सी.एस.,D,"सही उत्तर (D) CS (अनुबंधित उद्दीपन) है। मूल उल्टी UCS=कीमो; अस्पताल पहले तटस्थ था, अब CS बन गया। (A) UR अस्वाभाविक अनुक्रिया (दवा से उल्टी)। (B) CR अस्पताल देखकर उल्टी जैसा लगना—प्रश्न ‘अस्पताल हो गया है’ उद्दीपन पूछता है, अनुक्रिया नहीं। (C) US कीमो है, अस्पताल नहीं। पावलॉव मैपिंग CG TET की पसंदीदा चाल है।",Previous Year - CG TET 2017 Paper 1
"एक कार्य के दौरान मनीषा स्वयं से इस बारे में बात कर रही है कि वह किस प्रकार कार्य को आगे बढ़ा सकती है। भाषा और विचार पर लेव वायगोत्सकी के अनुसार, इस प्रकार का निजी भाषण किसका संकेत है?",स्व-नियमन,आत्म-केन्द्रिता,मनोवैज्ञानिक विकार,संज्ञानात्मक अपरिपक्वता,A,"सही उत्तर (A) है। वायगोत्सकी निजी वाणी को सोच का औजार और स्व-नियमन मानते हैं, कमी नहीं। (B) आत्मकेन्द्रित वाणी पियाजे का पद है; वे इसे अपरिपक्व सोच मानते थे। CG TET वायगोत्सकी पूछे तो स्व-नियमन चुनें। (C) विकार नहीं, सामान्य विकास है। (D) अपरिपक्वता पियाजे-दृष्टि है, वायगोत्सकी-विरोधी।",Previous Year - CG TET 2022 Paper 1
