question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
Clean catch midstream technique is used to collect:,Blood sample,Puss sample,Urine sample,CSF sample,C,A clean-catch midstream specimen is a method of collecting urine for microscopy and culture while minimizing contamination from the urethra and perineum.,"Previous Year - ESIC Staff Nurse 2016, Shift II | Easy"
The endocrine gland present in the base of the brain is:,Parathyroid,Pancreas,Pituitary,Thyroid,C,The pituitary gland lies in the sella turcica at the base of the brain and is connected to the hypothalamus. Thyroid and parathyroid glands are in the neck; the pancreas is in the abdomen.,"Previous Year - ESIC Staff Nurse 2016, Shift I | Easy"
Haematopoiesis in adults occur at:,Liver,Spleen,Red bone marrow,Yellow bone marrow,C,"In healthy adults, blood cell formation occurs in red bone marrow (axial skeleton and proximal long bones). Liver and spleen are sites in fetal life or in extramedullary hematopoiesis; yellow marrow is mainly fat.","Previous Year - ESIC Staff Nurse 2016, Shift I | Easy"
The normal levels of sodium in plasma is,135-143 mEq/L,97-106 mEq/L,90-196 mg/100 ml,60-100 mg/dl,A,Normal serum/plasma sodium is about 135-145 mEq/L (the exam option 135-143 mEq/L is within this range). 97-106 mEq/L is the chloride range; 60-100 mg/dL is a fasting glucose range.,"Previous Year - ESIC Staff Nurse 2019, Shift III | Easy"
Widal test is done in the diagnosis of:,Rheumatic fever,Hay fever,Enteric fever,Dengue fever,C,"The Widal test detects antibodies against Salmonella Typhi O and H antigens and is used as a serological aid in diagnosing enteric (typhoid) fever. It is not used for rheumatic fever, allergy, or dengue.","Previous Year - AIIMS NORCET 2023, Memory Based | Easy"
How many moments of hand hygiene have been laid down by WHO?,7,8,6,5,D,"WHO specifies five moments of hand hygiene: before touching a patient, before clean/aseptic procedures, after body fluid exposure risk, after touching a patient, and after touching patient surroundings.","Previous Year - AIIMS NORCET 2023, Memory Based | Easy"
DMPA is an injectable contraceptive given every,3 weeks,3 months,2 months,2 years,B,Depot medroxyprogesterone acetate (DMPA) is a progestin-only injectable contraceptive given intramuscularly every 3 months (12 weeks).,"Previous Year - AIIMS NORCET 2023, Memory Based | Easy"
Normal compression to ventilation ratio:,30:2,15:2,2:30,15:1,A,"For adult CPR, the standard compression-to-ventilation ratio is 30:2 for both single and two-rescuer resuscitation. 15:2 is used for two-rescuer CPR in infants and children.","Previous Year - AIIMS NORCET 6 Prelims 2024, Memory Based | Easy"
Which of the following vaccinations is given through the intradermal route?,BCG,Japanese encephalitis,Hepatitis B,Measles,A,"BCG is given intradermally over the left upper arm. Hepatitis B and measles are intramuscular or subcutaneous; Japanese encephalitis vaccines used in India are given IM or SC, not intradermally.","Previous Year - DSSSB Nursing Officer 2019, 28 August Shift 2 | Easy"
Which of the following ethical principles refers to keeping one's promises?,Fidelity,Non-maleficence,Beneficence,Veracity,A,"Fidelity means loyalty and keeping commitments to the patient. Veracity is truth-telling, beneficence is doing good, and non-maleficence is avoiding harm.","Previous Year - DSSSB Nursing Officer 2019, 27 August Shift 3 | Easy"
