question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
डिसलेक्सिया एक ____ की अक्षमता है।,पढ़ने,लिखने,पढ़ने व लिखने,गणित में कठिनाई,A,"सही उत्तर (A) है। CG TET 2016 में डिस्लेक्सिया को मुख्यतः पठन-अक्षमता माना गया—अक्षर पहचान, शब्द-विश्लेषण, धाराप्रवाह पढ़ना। (B) लिखना डिसग्राफिया है। (C) दोनों मिलाना आम भ्रम है; लिखने की समस्या अलग वर्गीकरण में आती है। (D) गणित डिसकैलकुलिया है। पहचान: अक्षर उल्टे दिखना, saw/was भ्रम, धीमी पठन गति—बुद्धि कम होना आवश्यक नहीं।",Previous Year - CG TET 2016 Paper 1
"पढ़ने व लिखने के लिए सम्प्रेषण की व्यवस्था जो कागज पर उभरे हुए बिन्दुओं का उपयोग करती है, ____ नाम से जानी जाती है।",ओ.सी.आर. साधन,ब्रेल,तकनीकी सहायक यंत्र,प्रहस्तन व स्पर्शीय सहायक यंत्र,B,"सही उत्तर (B) ब्रेल है—दृष्टिबाधित बच्चों की लिपि, उभरे बिंदु स्पर्श से पढ़े जाते हैं। समावेशी कक्षा में यह आवश्यक सहायक सामग्री है। (A) OCR मुद्रित पाठ को डिजिटल करता है, बिंदु-लिपि नहीं। (C)(D) व्यापक सहायक प्रौद्योगिकी हैं, विशिष्ट नाम ब्रेल नहीं। गलत विकल्प सामान्य श्रेणी देकर सटीक पद छिपाते हैं।",Previous Year - CG TET 2016 Paper 1
विशिष्ट बालक कौन हैं?,शारीरिक रूप से विकलांग,मानसिक मंद,जिनकी शारीरिक विशेषताएँ व/अथवा सीखने की क्षमता सामान्यों से भिन्न हैं,जो जोखिम पर हैं,C,"सही उत्तर (C) है। Exceptional/CWSN व्यापक है—विकलांगता के साथ प्रतिभाशाली भी, जो औसत से भिन्न शैक्षिक आवश्यकता रखते हैं। (A)(B) केवल एक-एक वर्ग हैं, पूरी परिभाषा नहीं। (D) जोखिम (at-risk) संबंधित हो सकता है पर ‘विशिष्ट’ का मानक अर्थ भिन्न क्षमता/विशेषता है। 2022 में विशेष शिक्षा में प्रतिभाशाली शामिल—यही व्यापक दृष्टि है।",Previous Year - CG TET 2016 Paper 1
मानसिक मंद बच्चों के शिक्षण में निम्न चार नियमों में से किसे नहीं अपनाना चाहिए?,साधारण से जटिल,मूर्त से अमूर्त,पूर्ण से अंश,केवल साधारण या मूर्त,D,"सही उत्तर (D) है क्योंकि ‘केवल’ मूर्त तक सीमित रखना विकास रोकता है। बौद्धिक अक्षमता में भी क्रम है: सरल→जटिल, मूर्त→धीरे अमूर्त। (A)(B)(C) सभी वैध शिक्षण सूत्र हैं। CG TET अपेक्षा: CWSN को अवसर दो, क्षमता को छत मत बनाओ।",Previous Year - CG TET 2016 Paper 1
मंद श्रवण हानि का स्तर है :,0 – 25 डेसीबल,26 – 40 डेसीबल,41 – 55 डेसीबल,56 – 70 डेसीबल,B,"सही उत्तर (B) 26–40 dB मंद (mild) श्रवण हानि है। (A) 0–25 सामान्य श्रवण। (C) 41–55 मध्यम। (D) 56–70 मध्यम-गंभीर के निकट। कक्षा: मंद हानि में आगे बैठाना, स्पष्ट वाक्, श्रवण यंत्र सहायक हो सकते हैं—अलग विशेष विद्यालय अनिवार्य नहीं।",Previous Year - CG TET 2017 Paper 1
विशेष आवश्यकता वाले बच्चों की शिक्षा के लिए प्रावधान किया जा सकता है :,विशेष शाला के माध्यम से,एकीकृत शिक्षा द्वारा,समावेशी शिक्षा द्वारा,इनमें से कोई नहीं,C,"सही उत्तर (C) है। वर्तमान नीति समावेशी शिक्षा है—नियमित कक्षा + व्यक्तिगत सहायता, स्कूल बच्चे के अनुकूल बदले। (A) केवल विशेष शाला पृथक्करण है, अंतिम विकल्प नहीं। (B) एकीकृत शिक्षा में बच्चा स्कूल के अनुरूप ढलता है, स्कूल कम बदलता है। (D) प्रावधान हैं ही। RTE 2009 भी समावेश का समर्थन करता है।",Previous Year - CG TET 2017 Paper 1
एक बच्चा 'saw' एवं 'was' तथा 'nuclear' एवं 'unclear' में विभेद नहीं कर पाता है। वह निम्न में से पीड़ित है:,डिस्लेक्सिया,शब्द उछलने का विकार,डिस्लेक्सेमिया,डिस्मारफेमिया,A,"सही उत्तर (A) है। अक्षर/शब्द क्रम उलटना, समान दिखने वाले शब्दों में भ्रम पठन-अक्षमता (Dyslexia) का क्लासिक संकेत है। (B) अनौपचारिक वर्णन है, नैदानिक पद नहीं। (C)(D) भ्रामक गढ़े शब्द हैं। बुद्धि सामान्य हो सकती है; शिक्षक को आलस्य न समझें, बहु-इंद्रिय पठन व अतिरिक्त समय दें।",Previous Year - CG TET 2019 Paper 1
इनमें से कौन सा प्रमस्तिष्कीय पक्षाघात (Cerebral Palsy) का प्रकार नहीं है?,मस्तिष्क-संस्तम्भ (Spastic),मांसपेशीय क्षय (Muscular Dystrophy),एथिटोसिस (Athetosis),एटाक्सिया (Ataxia),B,"सही उत्तर (B) है। मस्कुलर डिस्ट्रॉफी मांसपेशी-क्षय रोग है, CP का प्रकार नहीं। CP मस्तिष्क की गति-नियंत्रण क्षति है—स्पैस्टिक, एथेटॉइड, एटैक्सिक प्रमुख प्रकार। (A)(C)(D) CP वर्गीकरण में आते हैं। शारीरिक CWSN में निदान मिलाएँ नहीं; शिक्षण: पहुँच, सहायक उपकरण, समय।",Previous Year - CG TET 2019 Paper 1
किस प्रकार का मूल्यांकन विशेष आवश्यकता वाले बच्चों की पहचान करता है?,प्लेसमेंट,योगात्मक,निरंतर,डायग्नोस्टिक,D,"सही उत्तर (D) नैदानिक/निदानात्मक मूल्यांकन है—कठिनाई का कारण, शक्ति-कमजोरी, उपचारात्मक योजना। (A) प्लेसमेंट स्थान निर्धारण है, गहरी पहचान नहीं। (B) योगात्मक अंत में उपलब्धि मापता है। (C) निरंतर प्रगति देखता है पर विशिष्ट अक्षमता-पहचान का मानक पद डायग्नोस्टिक है। पहले पहचान, फिर IEP/समावेशी सहायता।",Previous Year - CG TET 2022 Paper 1
"शिक्षा का अधिकार, 2009 के अनुसार, विशेष आवश्यकता वाले बच्चों को पढ़ाना चाहिए",व्यवसायिक प्रशिक्षण केन्द्रों में जो उन्हें जीवन कौशल के लिए तैयार करेंगे।,आवश्यक सहायता प्रदान करते हुए घर पर उनके माता-पिता और देखभाल करने वालों के साथ।,उनकी व्यक्तिगत आवश्यकताओं को पूरा करने के प्रावधानों के साथ समावेशी शिक्षा व्यवस्था में।,विशेष रूप से उनके लिए बनाए गए विशेष स्कूलों में।,C,"सही उत्तर (C) है। RTE CWSN को पड़ोसी विद्यालय में समावेश + उचित सुविधा का हक देता है। (A) केवल व्यावसायिक केंद्र बचपन की शिक्षा का विकल्प नहीं। (B) केवल घर शिक्षा के अधिकार को सीमित करता है। (D) विशेष स्कूल कुछ गंभीर स्थितियों में हो सकते हैं, पर अधिनियम का मुख्य संदेश समावेश है।",Previous Year - CG TET 2022 Paper 1
विशेष शिक्षा के सिद्धांत में शामिल हैं,प्रतिबंधात्मक वातावरण,माता-पिता की न्यूनतम भागीदारी एवं सहभागिता,गैर भेद-भावपूर्ण पहचान और मूल्यांकन,सार्वजनिक शिक्षा पर रोक,C,"सही उत्तर (C) है—पहचान बिना भेदभाव, मानकीकृत/उचित आकलन। (A) लक्ष्य न्यूनतम प्रतिबंधात्मक वातावरण (LRE) है, अधिकतम प्रतिबंध नहीं। (B) अभिभावक भागीदारी अधिक चाहिए, न्यूनतम नहीं। (D) सार्वजनिक/निःशुल्क शिक्षा अधिकार है, रोक नहीं। नीति: पहुँच, भागीदारी, बिना लेबल के कलंक।",Previous Year - CG TET 2022 Paper 1
"विशेष शिक्षा में न केवल विकलांग छात्रों को शामिल किया गया है, बल्कि इसमें निम्न भी शामिल हैं",प्रतिभाशाली छात्र,खेलों में उत्कृष्ट छात्र,मादक द्रव्य सेवन करने वाले छात्र,समाज के कमजोर/वंचित वर्गों के छात्र।,A,"सही उत्तर (A) है। विशेष शिक्षा उन सभी के लिए है जिन्हें औसत पाठ्यक्रम से इतर सेवा चाहिए—विकलांगता और गिफ्टेड दोनों। (B) खेल उत्कृष्टता स्वतः विशेष शिक्षा नहीं। (C) मादक द्रव्य स्वास्थ्य/परामर्श मुद्दा है। (D) वंचित वर्ग को समतामूलक शिक्षा चाहिए, पर ‘विशेष शिक्षा’ का तकनीकी दायरा प्रतिभाशाली+अक्षमता है।",Previous Year - CG TET 2022 Paper 1
