question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
अभिवृद्धि का संबंध बालक के व्यक्तित्व के किस पहलू से है ?,मानसिक,शारीरिक,चारित्रिक,भावात्मक,B,"सही उत्तर (B) है क्योंकि अभिवृद्धि (Growth) मुख्यतः शरीर के आकार, ऊँचाई, वजन और अंगों में होने वाला मापनीय/परिमाणात्मक परिवर्तन है। CG TET में वृद्धि को विकास का केवल शारीरिक पक्ष माना जाता है। (A) गलत है क्योंकि मानसिक परिवर्तन बुद्धि, चिंतन व स्मृति से जुड़े विकास के आयाम हैं, मात्र वृद्धि नहीं। (C) चारित्रिक परिवर्तन मूल्य व आचरण से संबंधित गुणात्मक विकास है। (D) भावात्मक पक्ष संवेगों के नियंत्रण से जुड़ा विकास है, ऊँचाई-वजन जैसी मापनीय वृद्धि नहीं।",Previous Year - CG TET 2017 Paper 1
जब एक पीपल का पौधा बढ़कर वृक्ष बनता है तब वह अधिक बड़ा पीपल बन जाता है। यह मत प्रदर्शित करता है विकास की __________ को।,विच्छिन्नता,निरंतरता,विच्छिन्नता तथा निरंतरता दोनों,"कभी विच्छिन्नता, कभी निरंतरता",B,"सही उत्तर (B) है क्योंकि पौधा धीरे-धीरे, बिना जाति बदले, बड़े वृक्ष के रूप में परिवर्तित होता है—यह विकास की निरंतरता (Continuity) दर्शाता है: परिवर्तन क्रमिक व अविरल हैं। CG TET में ऐसे उदाहरण से यह दिखाया जाता है कि विकास अचानक नहीं, सतत होता है। (A) विच्छिन्नता का अर्थ चरणबद्ध/गुणात्मक छलाँग है, जैसे अंडा से पंछी; यहाँ जाति वही रहती है। (C) दोनों एक साथ इस उदाहरण का मुख्य संदेश नहीं हैं। (D) अनियमित परिवर्तन का संकेत देता है, जबकि दी गई स्थिति क्रमबद्ध वृद्धि है।",Previous Year - CG TET 2017 Paper 1
किशोरावस्था की विशेषताओं को सर्वोत्तम रूप से व्यक्त करने वाला एक शब्द है :,विकास,परिवर्तन,समायोजन,अस्थिरता,B,"सही उत्तर (B) है क्योंकि किशोरावस्था तीव्र शारीरिक, मानसिक, सामाजिक व संवेगात्मक परिवर्तनों का काल है; CG TET भाषा में ‘परिवर्तन’ इसे सबसे व्यापक रूप से समेटता है। (A) विकास जीवन की सभी अवस्थाओं में होता है, केवल किशोरावस्था का विशिष्ट चिह्न नहीं। (C) समायोजन आवश्यक है, पर यह विशेषता का सार नहीं, बल्कि परिवर्तन का परिणाम/आवश्यकता है। (D) अस्थिरता कुछ किशोरों में दिखती है, पर आधुनिक दृष्टि से यह सभी किशोरों का अनिवार्य लक्षण नहीं माना जाता।",Previous Year - CG TET 2017 Paper 1
निम्नलिखित में से कौन सा बाल्यावस्था की प्रमुख विशेषता नहीं है ?,शारीरिक व मानसिक स्थिरता,वास्तविक जगत से संबंध,दूसरों पर निर्भरता,रचनात्मक कार्यों में आनंद,C,"सही उत्तर (C) है क्योंकि दूसरों पर पूर्ण निर्भरता शैशवावस्था की विशेषता है, बाल्यावस्था की नहीं। बाल्यावस्था में बच्चा अपेक्षाकृत आत्मनिर्भर, खेलप्रिय व वास्तविक जगत से जुड़ा होता है। (A) सही विशेषता है—इस काल में वृद्धि की गति शैशवावस्था से धीमी व अपेक्षाकृत स्थिर होती है। (B) सही है क्योंकि बच्चा घर-विद्यालय की वास्तविक परिस्थितियों से जुड़ता है। (D) सही है क्योंकि खेल, चित्र व रचनात्मक कार्य बाल्यावस्था के केंद्र हैं। अतः ‘निर्भरता’ इस अवस्था का प्रमुख लक्षण नहीं है।",Previous Year - CG TET 2017 Paper 1
क्रियात्मक विकास का मस्तकाधोमुखी नियम विकास को बताता है।,पैर के अंगूठे से मस्तक तक,मस्तक से पैर के अंगूठे तक,मेरुदंड से हथेली की अंगुलियों तक,हथेली की अंगुलियों से मेरुदंड तक,B,"सही उत्तर (B) है क्योंकि मस्तकाधोमुखी (Cephalocaudal) नियम कहता है कि शारीरिक/क्रियात्मक नियंत्रण सिर से शुरू होकर धड़ होते हुए पैरों की ओर बढ़ता है। शिशु पहले गर्दन, फिर बैठना, फिर खड़ा होना/चलना सीखता है। (A) उल्टी दिशा है, यह नियम नहीं है। (C) यह निकट-दूर (Proximodistal) नियम है—केंद्र (मेरुदंड) से हाथ-अंगुलियों की ओर। (D) proximodistal की उल्टी दिशा है। CG TET में दोनों नियमों को विकल्पों में मिलाकर भ्रम पैदा किया जाता है, दिशा याद रखना आवश्यक है।",Previous Year - CG TET 2017 Paper 1
तीन माह की अवस्था के प्रारम्भिक संवेग हैं।,"प्रसन्नता, उदासी, घृणा","प्रसन्नता, उदासी, परानुभूति","प्रसन्नता, घृणा, ईर्ष्या","उदासी, घृणा, गर्व",A,"सही उत्तर (A) है क्योंकि जन्म के आसपास/प्रारंभिक महीनों में प्राथमिक संवेग—प्रसन्नता, उदासी (दुःख) और घृणा—स्पष्ट होने लगते हैं। CG TET संवेगात्मक विकास में प्राथमिक बनाम जटिल संवेग पूछता है। (B) परानुभूति (सहानुभूति) सामाजिक-संज्ञानात्मक परिपक्वता बाद में आती है। (C) ईर्ष्या तुलना व स्वत्व बोध से जुड़ा जटिल संवेग है, तीन माह में नहीं। (D) गर्व आत्म-चेतना व सामाजिक मूल्यांकन पर निर्भर करता है, जो शैशवावस्था के अंत/बाल्यावस्था में आता है।",Previous Year - CG TET 2017 Paper 1
निम्नलिखित में से किस अवस्था में शब्दों को दोहराने की प्रवृत्ति विशेष रूप से पाई जाती है ?,शैशवावस्था,बाल्यावस्था,किशोरावस्था,प्रौढ़ावस्था,A,"सही उत्तर (A) है क्योंकि शैशवावस्था भाषा-अधिगम का आरंभ है—बड़बड़ाहट व प्रतिध्वनि (Echolalia) में शिशु सुने शब्दों/ध्वनियों को दोहराता है। यह मानसिक-भाषायी विकास का सामान्य चरण है। (B) बाल्यावस्था में वाक्य, शब्द-भंडार व अर्थ ग्रहण प्रधान होते हैं, मात्र दोहराना नहीं। (C) किशोरावस्था में अमूर्त भाषा व आत्म-अभिव्यक्ति होती है। (D) प्रौढ़ावस्था में भाषा पहले से अर्जित रहती है; दोहराने की विशिष्ट प्रवृत्ति नहीं मानी जाती।",Previous Year - CG TET 2017 Paper 1
"यह धारणा कि, किशोर तूफान व तनाव की अवधि का अनुभव करते हैं, है:",सभी किशोरों के लिए सत्य,कुछ किशोरों के लिए सत्य,"असत्य, अधिकांश शोध के अनुसार","असत्य, क्योंकि अधिकांश किशोर अप्रासंगिक संवेग थोड़ी मात्रा में प्रदर्शित करते हैं।",B,"सही उत्तर (B) है। स्टैनली हॉल ने किशोरावस्था को ‘तूफान और तनाव’ कहा, पर CG TET की आधुनिक दृष्टि यह है कि यह सभी पर समान रूप से लागू नहीं होता—कुछ किशोर तीव्र संघर्ष अनुभव करते हैं, बहुत से अपेक्षाकृत सहज रहते हैं। (A) अतिसामान्यीकरण है, शोध इसका समर्थन नहीं करता। (C) पूरी तरह असत्य कहना गलत है, क्योंकि कुछ किशोरों में यह अनुभव वास्तविक है। (D) संवेगों को ‘अप्रासंगिक’ कहना त्रुटिपूर्ण है; किशोर संवेग प्रासंगिक होते हैं, केवल तीव्रता भिन्न होती है।",Previous Year - CG TET 2017 Paper 1
विकास के निम्नलिखित सिद्धांतों में से कौन सा सिद्धांत गलत है?,विकास में व्यक्तिगत विभिन्नता होती है।,विकास संयोग का परिणाम होता है।,यह एक सतत प्रक्रिया है।,यह अनुमानित है।,B,"सही उत्तर (B) है क्योंकि विकास संयोग/अकस्मात घटना नहीं, बल्कि परिपक्वता व अनुभव से निर्देशित क्रमबद्ध प्रक्रिया है। अतः ‘संयोग का परिणाम’ गलत सिद्धांत है। (A) सही सिद्धांत है—हर बच्चे की गति व स्वरूप भिन्न होता है। (C) सही है—विकास जन्म से मृत्यु तक निरंतर चलता है। (D) सही है—विकास की दिशा व क्रम (सिर से पैर, सामान्य से विशिष्ट) अनुमानित/पूर्वानुमेय होते हैं, यद्यपि गति में अंतर रहता है।",Previous Year - CG TET 2022 Paper 1
निम्नलिखित में से कौन एक बच्चे के सामाजिक विकास को प्रभावित करने वाला व्यक्तिगत कारक नहीं है?,साथी समूह,स्वास्थ्य,संवेग,बुद्धि,A,"सही उत्तर (A) है क्योंकि साथी समूह बाहरी सामाजिक-पर्यावरणीय कारक है, बच्चे का व्यक्तिगत (आंतरिक) कारक नहीं। स्वास्थ्य, संवेग और बुद्धि बच्चे के अपने गुण हैं जो सामाजिक व्यवहार को प्रभावित करते हैं। (B) स्वास्थ्य व्यक्तिगत कारक है—बीमार बच्चा खेल-साथियों से पीछे रह सकता है। (C) संवेग व्यक्तिगत हैं—अति क्रोध/भय सामाजिक समायोजन घटाते हैं। (D) बुद्धि व्यक्तिगत संज्ञानात्मक कारक है जो संप्रेषण व सहयोग को प्रभावित करती है।",Previous Year - CG TET 2022 Paper 1
