question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
प्रकृति व पोषण विकास को कैसे नियंत्रित करते हैं?,"जन्म तक प्रकृति ज्यादा महत्वपूर्ण होती है, उसके पश्चात् पोषण की भूमिका होती है।",पूरे मानव विकास के दौरान प्रकृति ज्यादा महत्त्वपूर्ण होती है।,प्रकृति केवल गर्भाधान व जन्मपूर्व समय में महत्त्वपूर्ण होती है।,प्रकृति व पोषण गर्भावस्था से लेकर विकास को नियंत्रित करने में अंतःक्रिया करते हैं।,D,"सही उत्तर (D) है क्योंकि आधुनिक बाल-मनोविज्ञान विकास को केवल वंशानुक्रम (प्रकृति) या केवल वातावरण (पोषण) का परिणाम नहीं मानता। दोनों गर्भावस्था से जीवनभर अंतःक्रिया करते हैं—जीन संभावना देते हैं, अनुभव उसे रूप देते हैं। (A) जन्म के बाद प्रकृति को बंद मान बैठता है, जो गलत है; आनुवंशिक प्रभाव बाद में भी दिखते हैं। (B) केवल प्रकृतिवादी अतिरेक है, शिक्षा/पोषण की उपेक्षा करता है। (C) प्रकृति को केवल गर्भ तक सीमित करता है; बुद्धि, ऊँचाई आदि पर जीन बाद में भी कार्य करते हैं। CG TET का मानक सूत्र है—Nature × Nurture।",Previous Year - CG TET 2016 Paper 1
"‘टेरेटोजन’ एक बाह्य एजेन्ट जैसे एक रसायन, वायरस अथवा एक प्रकार का विकिरण है जो विपरीत रूप से ____ के विकास को प्रभावित कर सकता है।",केवल केन्द्रीय तंत्रिका तंत्र,केवल गर्भस्थशिशु,"युग्मनज, भ्रूण व गर्भस्थशिशु",केवल भ्रूण व गर्भस्थशिशु,C,"सही उत्तर (C) है। टेरेटोजन बाह्य हानिकारक कारक (शराब, कुछ दवाएँ, रूबेला, विकिरण) हैं जो गर्भ के तीनों चरणों—युग्मनज, भ्रूण, गर्भस्थ शिशु—को क्षति पहुँचा सकते हैं। अतः यह जन्मपूर्व वातावरण का नकारात्मक पक्ष है, वंशानुक्रम नहीं। (A) केवल तंत्रिका तंत्र कहना संकीर्ण है; अंग, हृदय आदि भी प्रभावित हो सकते हैं। (B) केवल fetus तक सीमित करना गलत; सबसे संवेदनशील भ्रूण काल भी है। (D) युग्मनज चरण छोड़ देता है। CG TET में प्रसवपूर्व पर्यावरणीय जोखिम इसी रूप में पूछा जाता है।",Previous Year - CG TET 2016 Paper 1
निम्नलिखित में से कौन सीखने का अर्जन नहीं है?,आदत,ज्ञान,परिपक्वता,अभिवृत्ति,C,"सही उत्तर (C) है क्योंकि परिपक्वता आनुवंशिक रूप से निर्धारित जैविक तैयारी है, अभ्यास से ‘सीखी’ नहीं जाती। आदत, ज्ञान और अभिवृत्ति अनुभव/अधिगम से अर्जित होते हैं। (A) आदत दोहराव से बनती है। (B) ज्ञान शिक्षण-अनुभव से आता है। (D) अभिवृत्ति सामाजिक वातावरण से गढ़ती है। शिक्षक को समझना चाहिए कि कुछ कौशल परिपक्वता की प्रतीक्षा करते हैं, केवल रटाने से नहीं आते—यह वंशानुक्रम-वातावरण विभेद का केंद्र है।",Previous Year - CG TET 2016 Paper 1
प्रकृतिवादियों के अनुसार विकास में प्रमुख भूमिका होती है :,अनुवांशिकी की,पालन की,अनुवांशिकी तथा वातावरण दोनों की,अनुवांशिकी तथा पालन की अंतःक्रिया की,A,"सही उत्तर (A) है। प्रश्न ‘प्रकृतिवादियों के अनुसार’ पूछता है, आधुनिक संतुलित मत नहीं। प्रकृतिवाद/नैटिविज्म जन्मजात शक्तियों व आनुवंशिकी को प्रधान मानता है। (B) पालन/पोषण पर्यावरणवादी मत है। (C) और (D) आज का स्वीकृत अंतःक्रियावाद है, पर प्रकृतिवादी यही नहीं कहते। CG TET में ‘किसके अनुसार’ पढ़े बिना (D) चुनना आम त्रुटि है।",Previous Year - CG TET 2017 Paper 1
प्रकृति एवं पोषण संकेत करते हैं:,आंतरिक एवं बाह्य वातावरण,स्वभाव एवं चरित्र,बाह्य लक्षण एवं स्वभाव,वंशक्रम एवं वातावरण,D,"सही उत्तर (D) है। Nature = वंशक्रम/जीन; Nurture = वातावरण/पालन-पोषण। यही CG TET की शब्दावली है। (A) दोनों को वातावरण बना देता है, वंश का स्थान नहीं देता; आंतरिक वातावरण (गर्भाशय) पोषण का भाग हो सकता है, पर ‘प्रकृति’ जीन है। (B) स्वभाव-चरित्र परिणाम हैं, कारण-युग्म नहीं। (C) लक्षण व स्वभाव वंश-वातावरण के उत्पाद हो सकते हैं, पर्याय नहीं।",Previous Year - CG TET 2019 Paper 1
बुद्धि एवं व्यक्तित्व में वंशानुक्रम की-,महत्वपूर्ण भूमिका है,नाममात्र की भूमिका है,अपूर्वानुमेय भूमिका है,आकर्षक भूमिका है,A,"सही उत्तर (A) है। जुड़वाँ/पारिवारिक अध्ययन दिखाते हैं कि बुद्धि व स्वभाव के आधार में आनुवंशिक योगदान महत्वपूर्ण है। इसका अर्थ यह नहीं कि वातावरण व्यर्थ है। (B) वंश को नगण्य बताना पर्यावरणवादी अतिरेक है। (C) ‘अपूर्वानुमेय’ वैज्ञानिक निष्कर्ष नहीं; वंश प्रभाव दिशा देता है यद्यपि सटीक अंक नहीं। (D) ‘आकर्षक’ गैर-तकनीकी विकल्प है। शिक्षाशास्त्र: क्षमता की सीमा वंश से, उपलब्धि वातावरण से।",Previous Year - CG TET 2022 Paper 2
"जिन बच्चों के परिवार का वातावरण प्रजातांत्रिक होता है, वह अन्य बच्चों से अपेक्षाकृत ज्यादा होते हैं",शैक्षिक क्षेत्र में पिछड़े व्यक्तित्व वाले,बहिर्मुखी और अधिक क्रियाशील वाले,अन्तःमुखी व्यक्तित्व वाले,कमजोर और कम क्रियाशील व्यक्तित्व वाले,B,"सही उत्तर (B) है। प्रजातांत्रिक परिवार में बच्चे को अभिव्यक्ति, निर्णय व स्नेह मिलता है—वे अधिक सामाजिक, आत्मविश्वासी व क्रियाशील बनते हैं। यह सामाजिक-संवेगात्मक आयाम पर घरेलू वातावरण का प्रभाव है। (A) पिछड़ापन निरंकुश/उदासीन घर से अधिक जुड़ा देखा जाता है, लोकतांत्रिक से नहीं। (C) अंतर्मुखता दमन/अत्यधिक नियंत्रण से बढ़ सकती है। (D) कमजोरी पोषण/उपेक्षा से जुड़ती है, संवादपूर्ण घर से नहीं।",Previous Year - CG TET 2022 Paper 2
वैयक्तिक तथा वातावरण से संबंधित कारकों का प्रभाव अधिगम पर किस अवस्था तक पड़ता है?,पूर्व बाल्यावस्था,किशोरावस्था,बाल्यावस्था,सम्पूर्ण जीवन,D,"सही उत्तर (D) है क्योंकि वैयक्तिक (बुद्धि, स्वास्थ्य, अभिप्रेरणा) और पर्यावरणीय (घर, विद्यालय, संस्कृति) कारक अधिगम को जीवनभर प्रभावित करते हैं। विकास/सीखना किसी एक अवस्था पर बंद नहीं होता। (A)(B)(C) प्रभाव को एक आयु-खंड तक काट देते हैं, निरंतरता के सिद्धांत के विरुद्ध। शिक्षक हर स्तर पर वातावरण सुधार सकता है।",Previous Year - CG TET 2022 Paper 2
Y गुणसूत्र में ____ नामक जीन होता है जो एक रासायनिक पदार्थ उत्पादित करता है जिसके कारण युग्मनज का विकास नर रूप में होता है।,एस.वाय.आर.,आर.एस.वाय.,एस.आर.वाय.,आर.वाय.एस.,C,"सही उत्तर (C) एस.आर.वाय. (SRY) है। यह Y गुणसूत्र पर स्थित लिंग-निर्धारक जीन है—वंशानुक्रम का जैविक उदाहरण। (A)(B)(D) अक्षरों के क्रम से बने Distractors हैं। CG TET कभी-कभी आनुवंशिकी की सूक्ष्म तथ्य-पूँछ करता है; याद रखें XX मादा, XY नर, नर-दिशा SRY से। यह वातावरण नहीं, जन्मजात कारक है।",Previous Year - CG TET 2016 Paper 1
वैयक्तिक विभिन्नताओं को समझने का प्रयत्न सबसे पहले किसके द्वारा किया गया?,गाल्टन,जेम्स ड्रेवर,स्कीनर,टॉयलर,A,"सही उत्तर (A) फ्रांसिस गाल्टन है। उन्होंने वंश, प्रतिभा व वैयक्तिक भिन्नताओं का व्यवस्थित अध्ययन किया। भिन्नताएँ वंश+वातावरण दोनों से जन्म लेती हैं, पर ऐतिहासिक रूप से गाल्टन को प्रथम वैज्ञानिक प्रयास माना जाता है। (B) ड्रेवर मनोविज्ञान से जुड़े पर इस ‘प्रथम’ दावे से नहीं। (C) स्किनर अधिगम/वातावरणवादी हैं, वैयक्तिक भिन्नता के प्रणेता नहीं। (D) टॉयलर पाठ्यचर्या/मूल्यांकन से जाने जाते हैं।",Previous Year - CG TET 2022 Paper 2
सीखने की प्रक्रिया होती है:,सिर्फ कक्षा-कक्ष में,शाला के अंदर,शाला के बाहर,शाला के अंदर तथा बाहर दोनों जगह,D,"सही उत्तर (D) है। अधिगम औपचारिक (विद्यालय) और अनौपचारिक (परिवार, पड़ोस, खेल, संस्कृति) दोनों वातावरणों में होता है। विकास के पर्यावरणीय आयाम को कक्षा तक सीमित करना त्रुटि है। (A)(B) स्कूल-केंद्रित संकीर्णता है। (C) विद्यालय की उपेक्षा करता है। CG TET समग्र वातावरण को सीखने का क्षेत्र मानता है।",Previous Year - CG TET 2016 Paper 1
वंशानुक्रम से तात्पर्य है,केवल मित्रों से प्राप्त आदतें,केवल विद्यालय में सीखा गया व्यवहार,केवल शिक्षक द्वारा दिए गए अंक,माता-पिता से जीन के माध्यम से प्राप्त जैविक विशेषताएँ,D,"वंशानुक्रम जीन/गुणसूत्रों द्वारा पीढ़ी-दर-पीढ़ी जैविक लक्षणों का संचरण है—रंग, रक्त समूह, कुछ रोग-प्रवृत्ति, बुद्धि की संभावना। विद्यालय, मित्र व अंक पर्यावरणीय/अधिगम पक्ष हैं। CG TET में आंतरिक जैविक कारक को बाह्य अनुभव से अलग पहचानना होता है।",Expected - CG TET | CDP - विकास के आयाम व कारक - वंशानुक्रम अर्थ
वातावरण से तात्पर्य है,केवल गुणसूत्रों की संख्या,केवल जन्मजात प्रतिवर्त,"व्यक्ति को प्रभावित करने वाली बाहरी भौतिक, सामाजिक और सांस्कृतिक परिस्थितियाँ",केवल जीन की संरचना,C,"वातावरण गर्भाशय से लेकर घर, विद्यालय, संस्कृति, पोषण व अनुभव तक सब बाह्य प्रभाव हैं। जीन, गुणसूत्र और प्रतिवर्त वंश/जन्मजात पक्ष हैं। पोषण (Nurture) इसी वातावरण का पर्याय है। गलत विकल्प प्रकृति को वातावरण कह देते हैं।",Expected - CG TET | CDP - विकास के आयाम व कारक - वातावरण अर्थ
वुडवर्थ के अनुसार विकास का सूत्र है,वंशानुक्रम + केवल समय,वंशानुक्रम × वातावरण,वातावरण − वंशानुक्रम,केवल विद्यालय ÷ आयु,B,Woodworth: Personality/Development = Heredity × Environment। गुणन दर्शाता है कि एक पक्ष शून्य हो तो विकास अधूरा; दोनों आवश्यक हैं। जोड़/घटाव/भाग के सूत्र TET में मानक नहीं। अंतःक्रियावाद का यह सबसे यादगार रूप है।,Expected - CG TET | CDP - विकास के आयाम व कारक - वुडवर्थ सूत्र
"“वंशानुक्रम सीमाएँ निर्धारित करता है, वातावरण उस सीमा तक पहुँचने में सहायक होता है।” इस कथन का शैक्षिक अर्थ है",केवल दंड से सीमाएँ बढ़ जाती हैं,वातावरण व्यर्थ है यदि जीन अच्छे हों,प्रत्येक बच्चे की क्षमता का अधिकतम विकास उपयुक्त वातावरण से संभव है,शिक्षक कुछ नहीं कर सकता क्योंकि सब कुछ जन्म से तय है,C,"जीन संभावना (range) देते हैं; पोषण, शिक्षण, स्वास्थ्य उस संभावना को साकार करते हैं। अतः शिक्षक वातावरण सुधारकर उपलब्धि बढ़ा सकता है, जन्म को बदल नहीं सकता। ‘सब जन्म से तय’ भाग्यवाद है। अच्छे जीन के बावजूद कुपोषण/उपेक्षा क्षमता दबाती है। दंड सीमा नहीं बढ़ाता।",Expected - CG TET | CDP - विकास के आयाम व कारक - सीमा और वातावरण
विकास को प्रभावित करने वाले आंतरिक कारक हैं,"विद्यालय, पड़ोस और जनसंचार",केवल साथी समूह और मेला,"वंशानुक्रम, परिपक्वता, अंतःस्रावी ग्रंथियाँ और बुद्धि",केवल पाठ्यपुस्तक और समय-सारिणी,C,"आंतरिक = जीव के अंदर: जीन, ग्रंथि, तंत्रिका तंत्र, स्वास्थ्य, बुद्धि। विद्यालय-पड़ोस-मीडिया बाह्य सामाजिक वातावरण हैं। पाठ्यपुस्तक बाह्य शैक्षिक साधन है। साथी/मेला बाह्य सामाजिक कारक। CG TET आंतरिक-बाह्य वर्गीकरण बार-बार पूछता है।",Expected - CG TET | CDP - विकास के आयाम व कारक - आंतरिक कारक
विकास को प्रभावित करने वाला बाह्य कारक है,केवल जन्मजात प्रतिवर्त,"परिवार, विद्यालय, संस्कृति और पोषण",केवल SRY जीन,केवल गुणसूत्र,B,"बाह्य कारक व्यक्ति के बाहर की शक्तियाँ हैं—सामाजिक इकाई, संस्कृति, भोजन, जलवायु। गुणसूत्र, SRY, प्रतिवर्त आंतरिक/आनुवंशिक हैं। पोषण यहाँ आहार-वातावरण है, Nature का पर्याय नहीं।",Expected - CG TET | CDP - विकास के आयाम व कारक - बाह्य कारक
