question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
The causative agent of Lyme disease is:,Rickettsia prowazekii,Alphavirus,Borrelia burgdorferi,Trypanosoma brucei gambiense,C,"Lyme disease is a tick-borne spirochetal infection caused by Borrelia burgdorferi. The other organisms cause typhus, some viral illnesses, and African trypanosomiasis respectively.","Previous Year - AIIMS NORCET 2023, Memory Based"
Which among the following is the sign of severe dehydration among infants?,Anxiety and increased skin turgor,"Drowsiness, depressed fontanelle and decreased skin turgor",Excessive crying and excessive thirst,"Drowsiness, bulging fontanelle and decreased skin turgor",B,"Severe dehydration in infants presents with lethargy or drowsiness, a sunken or depressed fontanelle, and decreased skin turgor (skin pinch returns slowly). A bulging fontanelle suggests raised intracranial pressure, not dehydration.","Previous Year - AIIMS NORCET 2023, Memory Based"
"Patient arrived at an emergency department after a road traffic accident. Pulse rate 127 bpm, blood pressure is 90/56 with cold extremities. The nurse understands that the patient is at risk of which type of shock?",Neurogenic shock,Hypovolemic shock,Spinal shock,Cardiogenic shock,B,"Trauma with tachycardia, hypotension, and cold extremities indicates hypovolemic (hemorrhagic) shock from blood loss. Neurogenic shock typically causes bradycardia and warm dry skin due to loss of sympathetic tone.","Previous Year - AIIMS NORCET 2023, Memory Based"
The most preferred site of administration of intramuscular injection in children under one year is,Dorsogluteal site,Vastus lateralis,Ventrogluteal site,Deltoid site,B,"In infants under 1 year, the vastus lateralis (anterolateral thigh) is preferred because it has adequate muscle mass and avoids the sciatic nerve. The dorsogluteal site is unsafe in infants; the deltoid is too small.","Previous Year - AIIMS NORCET 2023, Memory Based"
"When serum bilirubin level rises on 3rd and 4th day after birth of the baby, due to inefficient hepatic function is known as",Pathological jaundice,Obstructed jaundice,Physiological jaundice,Viral hepatitis,C,"Physiological jaundice appears after 24 hours, often peaks on day 3-4 in term babies, and is due to immature hepatic conjugation of bilirubin. Jaundice within 24 hours is pathological.","Previous Year - AIIMS NORCET 2023, Memory Based"
Which of the following drug is prescribed to an antenatal mother for fetal lung maturation?,Bromocriptine,Metoprolol,Betamethasone,Metoclopramide,C,Antenatal corticosteroids such as betamethasone (or dexamethasone) are given to accelerate fetal lung surfactant production and reduce neonatal respiratory distress when preterm birth is anticipated.,"Previous Year - AIIMS NORCET 2023, Memory Based"
Which of the following medication is administered sublingually for managing angina pectoris,Aspirin,Betalol,Nitroglycerine,Warfarin,C,"Nitroglycerin is given sublingually in angina because it is rapidly absorbed, dilates coronary vessels and reduces preload, relieving ischemic chest pain. Aspirin is chewed or swallowed; warfarin is oral anticoagulant therapy.","Previous Year - AIIMS NORCET 2023, Memory Based"
"If a nurse evaluates the ECG and sees a saw-toothed P wave, what will be the diagnosis then?",Atrial flutter,Premature junction complications,Atrial fibrillation,Nasal arrhythmias,A,"Saw-tooth (flutter) waves are the classic ECG finding of atrial flutter, produced by a rapid regular atrial re-entry circuit. Atrial fibrillation shows an irregular baseline without discrete P waves.","Previous Year - AIIMS NORCET 2023, Memory Based"
Non-stress test is said to be normal if there are:,2 or more FHR accelerations during a 20 min period,2 or more FHR accelerations in a 40 min period,No decelerations during a 40 min observation,No accelerations during a 40 min observation,A,"A reactive (normal) non-stress test shows at least two fetal heart rate accelerations of adequate amplitude and duration within a 20-minute window, indicating intact fetal autonomic function.","Previous Year - AIIMS NORCET 2023, Memory Based"
Widal test is done in the diagnosis of:,Rheumatic fever,Hay fever,Enteric fever,Dengue fever,C,"The Widal test detects antibodies against Salmonella Typhi O and H antigens and is used as a serological aid in diagnosing enteric (typhoid) fever. It is not used for rheumatic fever, allergy, or dengue.","Previous Year - AIIMS NORCET 2023, Memory Based"
