question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
विकास की किस अवधि को ‘अत्यधिक दबाव और तनाव’ का काल कहा जाता है?,किशोरावस्था,बाल्यावस्था,वयस्कावस्था,शैशवावस्था,A,"सही उत्तर (A) है। स्टैनली हॉल के अनुसार किशोरावस्था Storm and Stress का काल है—शरीर में तीव्र परिवर्तन, पहचान की खोज, साथी प्रभाव व संवेगात्मक उतार-चढ़ाव दबाव उत्पन्न करते हैं। CG TET में यही मानक उत्तर है। (B) बाल्यावस्था अपेक्षाकृत स्थिर, खेल व विद्यालय-समायोजन का काल है। (C) वयस्कावस्था में उत्तरदायित्व होते हैं, पर ‘तूफान-तनाव’ पद किशोरावस्था के लिए प्रयुक्त होता है। (D) शैशवावस्था निर्भरता व तीव्र वृद्धि का काल है, पहचान-संकट का नहीं।",मिश्रित मॉक | विषय 1 - बाल विकास की अवस्थाएँ | Previous Year - CG TET 2022 Paper 1
शैशवावस्था की सामान्य आयु सीमा मानी जाती है,6 वर्ष से 12 वर्ष तक,12 वर्ष से 18 वर्ष तक,2 वर्ष से 6 वर्ष तक,जन्म से 2 वर्ष तक,D,"भारतीय TET पाठ्यक्रम में शैशवावस्था प्रायः 0-2 वर्ष है—पूर्ण निर्भरता, तीव्र शारीरिक-मानसिक वृद्धि, इंद्रिय-क्रियात्मक सीखना। 2-6 पूर्व बाल्यावस्था, 6-12 उत्तर बाल्यावस्था, 12-18 किशोरावस्था है। आयु-सीमा vertaकर विकल्प बनते हैं; परिभाषा के साथ उदाहरण जोड़कर याद करें।",मिश्रित मॉक | विषय 1 - बाल विकास की अवस्थाएँ | Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - शैशवावस्था
व्यक्तिगत शिक्षा योजना (IEP) है,केवल शिक्षक की निजी डायरी जिसका अभिभावक से कोई संबंध नहीं,केवल वार्षिक उत्सव का निमंत्रण पत्र,"CWSN की शक्ति, लक्ष्य, अनुकूलन और आकलन दर्ज करने वाला लिखित सहयोग-योजना",वंशानुक्रम बदलने का चिकित्सा प्रमाण,C,"IEP शिक्षक, विशेष शिक्षक, अभिभावक साथ बनाते हैं। उत्सव/डायरी/जीन-प्रमाण नहीं। समावेश को व्यावहारिक बनाने का दस्तावेज यही है।",मिश्रित मॉक | विषय 4 - CWSN व समावेशी शिक्षा | Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - IEP
संवेगात्मक विकास से तात्पर्य है,केवल शब्दों का उच्चारण सीखना,केवल मित्रों की संख्या बढ़ाना,"संवेगों को पहचानना, व्यक्त करना और सामाजिक रूप से नियंत्रित करना",केवल ऊँचाई और वजन में वृद्धि,C,"संवेगात्मक आयाम: भय, क्रोध, प्रेम, ईर्ष्या आदि की उत्पत्ति, अभिव्यक्ति व नियंत्रण—ताकि समायोजन हो। ऊँचाई-वजन शारीरिक वृद्धि है। उच्चारण भाषायी/मानसिक पक्ष है। मित्र संख्या सामाजिक अवसर हो सकती है, पर संवेग-नियंत्रण नहीं। CG TET चार आयामों को परिभाषा से अलग पहचानने को कहता है।",मिश्रित मॉक | विषय 1 - बाल विकास की अवस्थाएँ | Expected - CG TET | CDP - बाल विकास की अवस्थाएँ - संवेगात्मक विकास
निम्नलिखित में से कौन सीखने का अर्जन नहीं है?,आदत,ज्ञान,परिपक्वता,अभिवृत्ति,C,"सही उत्तर (C) है क्योंकि परिपक्वता आनुवंशिक रूप से निर्धारित जैविक तैयारी है, अभ्यास से ‘सीखी’ नहीं जाती। आदत, ज्ञान और अभिवृत्ति अनुभव/अधिगम से अर्जित होते हैं। (A) आदत दोहराव से बनती है। (B) ज्ञान शिक्षण-अनुभव से आता है। (D) अभिवृत्ति सामाजिक वातावरण से गढ़ती है। शिक्षक को समझना चाहिए कि कुछ कौशल परिपक्वता की प्रतीक्षा करते हैं, केवल रटाने से नहीं आते—यह वंशानुक्रम-वातावरण विभेद का केंद्र है।",मिश्रित मॉक | विषय 2 - विकास के आयाम व कारक | Previous Year - CG TET 2016 Paper 1
"‘टेरेटोजन’ एक बाह्य एजेन्ट जैसे एक रसायन, वायरस अथवा एक प्रकार का विकिरण है जो विपरीत रूप से ____ के विकास को प्रभावित कर सकता है।",केवल केन्द्रीय तंत्रिका तंत्र,केवल गर्भस्थशिशु,"युग्मनज, भ्रूण व गर्भस्थशिशु",केवल भ्रूण व गर्भस्थशिशु,C,"सही उत्तर (C) है। टेरेटोजन बाह्य हानिकारक कारक (शराब, कुछ दवाएँ, रूबेला, विकिरण) हैं जो गर्भ के तीनों चरणों—युग्मनज, भ्रूण, गर्भस्थ शिशु—को क्षति पहुँचा सकते हैं। अतः यह जन्मपूर्व वातावरण का नकारात्मक पक्ष है, वंशानुक्रम नहीं। (A) केवल तंत्रिका तंत्र कहना संकीर्ण है; अंग, हृदय आदि भी प्रभावित हो सकते हैं। (B) केवल fetus तक सीमित करना गलत; सबसे संवेदनशील भ्रूण काल भी है। (D) युग्मनज चरण छोड़ देता है। CG TET में प्रसवपूर्व पर्यावरणीय जोखिम इसी रूप में पूछा जाता है।",मिश्रित मॉक | विषय 2 - विकास के आयाम व कारक | Previous Year - CG TET 2016 Paper 1
वस्तु-स्थायित्व (Object permanence) किस अवस्था की प्रमुख उपलब्धि है?,औपचारिक संक्रिया अवस्था,केवल प्रौढ़ावस्था,संवेदी-क्रियात्मक अवस्था,कोहलबर्ग का उत्तर-पारंपरिक स्तर,C,"0-2 वर्ष: वस्तु दृष्टि से ओझल हो तो भी अस्तित्व समझना। औपचारिक अमूर्त तर्क है। प्रौढ़ावस्था इस मील का पत्थर नहीं। कोहलबर्ग नैतिक स्तर है, वस्तु-स्थायित्व नहीं। छिपी वस्तु ढूँढना इसी का संकेत है।",मिश्रित मॉक | विषय 3 - अधिगम व संज्ञानात्मक सिद्धांत | Expected - CG TET | CDP - अधिगम व संज्ञानात्मक विकास - वस्तु-स्थायित्व
निम्न में से कौन-सा कथन सर्वाधिक संतुलित है?,"विकास संयोग मात्र है, कोई कारक नहीं",न तो केवल वंशानुक्रम न तो केवल वातावरण विकास के लिए पर्याप्त है,"केवल वातावरण पर्याप्त है, जीन व्यर्थ हैं","केवल वंशानुक्रम पर्याप्त है, शिक्षा व्यर्थ है",B,"CG TET का निष्कर्ष-वाक्य: दोनों आवश्यक, अंतःक्रिया से विकास। केवल वंश शिक्षा को निरर्थक ठहराता है। केवल वातावरण जीन-सीमा नकारता है। संयोग 2022 का गलत सिद्धांत था। यही Topic-2 का सार है।",मिश्रित मॉक | विषय 2 - विकास के आयाम व कारक | Expected - CG TET | CDP - विकास के आयाम व कारक - संतुलित मत
कालम–A एवं कालम–B से सही विकल्प का मिलान करें। (a) डिस्लेक्सिया (b) डिसग्राफिया (c) डिसकैलकुलिया (d) डिसरथ्रिया | (I) पढ़ने और भाषा की कठिनाई (II) अंकगणितीय कौशल में कठिनाई (III) लेखन कौशल में कठिनाई (IV) बोलने की क्षमता में कठिनाई,"a-I, b-II, c-III, d-IV","a-IV, b-III, c-II, d-I","a-I, b-III, c-II, d-IV","a-IV, b-II, c-III, d-I",C,"सही उत्तर (C): डिस्लेक्सिया=पठन/भाषा, डिसग्राफिया=लेखन, डिसकैलकुलिया=गणित, डिसरथ्रिया=वाक्-पेशीय समन्वय। (A) ग्राफिया को गणित से मिला देता है। (B)(D) पठन-वाक् उल्टे हैं। चारों पद मिलाकर याद करें; ADHD इनमें अलग ध्यान-अतिसक्रियता वर्ग है।",मिश्रित मॉक | विषय 4 - CWSN व समावेशी शिक्षा | Previous Year - CG TET 2024 Paper 1
समावेशी शिक्षा का सबसे उपयुक्त अर्थ है,सभी बच्चों को नियमित विद्यालय में आवश्यक सहायता के साथ साथ पढ़ाना,केवल विकलांग बच्चों के अलग विद्यालय खोलना,केवल प्रतिभाशाली बच्चों को मुख्यधारा में रखना,CWSN को घर पर ही सीमित रखना,A,Inclusive = विविधता स्वीकार + भागीदारी बढ़ा + बाधा घटा। अलग स्कूल/घर पृथक्करण है। केवल गिफ्टेड को रखना बाकी को बाहर करता है। UNESCO/RTE/NEP का यही संदेश है।,मिश्रित मॉक | विषय 4 - CWSN व समावेशी शिक्षा | Expected - CG TET | CDP - CWSN व समावेशी शिक्षा - समावेश अर्थ
