question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
The anatomical position is described as a person standing with:,Face looking forward and palms facing forward,Palms facing backward,Feet pointing laterally,Arms folded across the chest,A,"In anatomical position the body is erect, face forward, arms at the sides, and palms facing forward with thumbs pointing away from the body. All directional terms use this position.",Expected - RRB Nursing Superintendent | Anatomy - Anatomical terms
A plane that divides the body into equal left and right halves is the:,Oblique plane,Midsagittal plane,Coronal plane,Transverse plane,B,The midsagittal (median) plane splits the body into equal left and right halves. A coronal (frontal) plane divides anterior and posterior; a transverse plane divides superior and inferior.,Expected - RRB Nursing Superintendent | Anatomy - Anatomical planes
A coronal (frontal) plane divides the body into:,Anterior and posterior parts,Proximal and distal parts,Superior and inferior parts,Left and right parts,A,The coronal or frontal plane runs vertically and divides the body into front (anterior) and back (posterior) portions.,Expected - RRB Nursing Superintendent | Anatomy - Anatomical planes
The term proximal means:,Nearer to the trunk or point of origin,Toward the midline,Farther from the trunk,Away from the surface,A,Proximal means closer to the trunk or origin of a structure (e.g. the elbow is proximal to the wrist). Distal means farther away.,Expected - RRB Nursing Superintendent | Anatomy - Anatomical terms
Which body cavity contains the brain?,Abdominal cavity,Cranial cavity,Pelvic cavity,Thoracic cavity,B,The cranial cavity is formed by the skull bones and houses the brain. The spinal (vertebral) cavity contains the spinal cord.,Expected - RRB Nursing Superintendent | Anatomy - Body cavities
The mediastinum is located in the:,Pelvic cavity,Cranial cavity,Thoracic cavity,Abdominal cavity,C,"The mediastinum is the central compartment of the thoracic cavity between the lungs. It contains the heart, great vessels, trachea, oesophagus and thymus.",Expected - RRB Nursing Superintendent | Anatomy - Body cavities
The powerhouse of the cell is the:,Mitochondrion,Ribosome,Nucleus,Golgi apparatus,A,"Mitochondria produce ATP by oxidative phosphorylation, so they are called the powerhouse of the cell. The nucleus holds DNA; ribosomes make protein.",Expected - RRB Nursing Superintendent | Anatomy - Cell
Which tissue covers body surfaces and lines cavities and glands?,Muscle tissue,Epithelial tissue,Connective tissue,Nervous tissue,B,"Epithelium covers surfaces, lines hollow organs and forms glands. Connective tissue supports; muscle contracts; nervous tissue conducts impulses.",Expected - RRB Nursing Superintendent | Anatomy - Tissues
Which type of muscle is striated and involuntary?,Skeletal muscle,Cardiac muscle,Smooth muscle,Ciliary muscle,B,Cardiac muscle is striated like skeletal muscle but is involuntary. Smooth muscle is non-striated and involuntary; skeletal muscle is striated and voluntary.,Expected - RRB Nursing Superintendent | Anatomy - Tissues
Haversian canals are found in:,Smooth muscle,Lymph nodes,Cartilage,Compact bone,D,Haversian (osteon) canals run through compact bone and carry blood vessels and nerves that nourish osteocytes.,Expected - RRB Nursing Superintendent | Anatomy - Tissues
Nervous tissue is made of ______ that receive and conduct impulses.,Enzymes,Nephrons,Neurons,Mucus,C,"Neurons are the structural and functional units of nervous tissue. They receive, generate and conduct electrical impulses.","Previous Year - RRB Nursing Officer 2019, Shift II | Anatomy"
The total number of bones in an adult human skeleton is:,270,212,300,206,D,The adult human skeleton has 206 bones. A newborn has about 270 bones; some fuse during growth.,Expected - RRB Nursing Superintendent | Anatomy - Skeletal system
The longest bone in the human body is the:,Fibula,Femur,Humerus,Tibia,B,The femur (thigh bone) is the longest and strongest bone. It articulates with the hip and the knee.,Expected - RRB Nursing Superintendent | Anatomy - Skeletal system
The smallest bone in the human body is the:,Pisiform,Malleus,Incus,Stapes,D,The stapes in the middle ear is the smallest bone. Together with the malleus and incus it transmits sound to the inner ear.,Expected - RRB Nursing Superintendent | Anatomy - Skeletal system
How many cervical vertebrae are present in humans?,12,8,7,5,C,"There are 7 cervical, 12 thoracic and 5 lumbar vertebrae. The first cervical vertebra is the atlas; the second is the axis.",Expected - RRB Nursing Superintendent | Anatomy - Vertebral column
The first cervical vertebra is called the:,Axis,Atlas,Sacrum,Dens,B,C1 is the atlas. It articulates with the skull and allows nodding. C2 is the axis and has the odontoid process (dens) for rotation.,Expected - RRB Nursing Superintendent | Anatomy - Vertebral column
The number of fused vertebrae in the sacrum is:,7,3,5,4,C,Five sacral vertebrae fuse to form the sacrum. Four coccygeal vertebrae fuse to form the coccyx.,Expected - RRB Nursing Superintendent | Anatomy - Vertebral column
True ribs are:,Ribs 11 and 12,All 12 pairs,Ribs 1 to 7,Ribs 8 to 10,C,True ribs (1-7) attach directly to the sternum via their own costal cartilages. Ribs 8-10 are false ribs; 11-12 are floating ribs.,Expected - RRB Nursing Superintendent | Anatomy - Thorax
The bone that does not articulate with any other bone is the:,Hyoid,Scaphoid,Patella,Clavicle,A,The hyoid bone in the neck is suspended by muscles and ligaments. It does not form a joint with any other bone.,Expected - RRB Nursing Superintendent | Anatomy - Skeletal system
The only movable bone of the skull is the:,Zygomatic bone,Mandible,Frontal bone,Maxilla,B,The mandible (lower jaw) is the only freely movable skull bone. It articulates at the temporomandibular joints.,Expected - RRB Nursing Superintendent | Anatomy - Skull
The foramen magnum is present in the:,Frontal bone,Temporal bone,Occipital bone,Sphenoid bone,C,The foramen magnum in the occipital bone is the large opening through which the spinal cord continues from the medulla.,Expected - RRB Nursing Superintendent | Anatomy - Skull
"The sella turcica, which lodges the pituitary gland, is part of the:",Ethmoid bone,Temporal bone,Occipital bone,Sphenoid bone,D,The sella turcica is a depression on the superior surface of the sphenoid bone. The pituitary gland sits in it.,Expected - RRB Nursing Superintendent | Anatomy - Skull
The patella is an example of a:,Long bone,Irregular bone,Sesamoid bone,Flat bone,C,The patella (kneecap) is the largest sesamoid bone. Sesamoid bones form within tendons.,Expected - RRB Nursing Superintendent | Anatomy - Bone types
Which of the following is a synovial (freely movable) joint?,Pubic symphysis,Tooth in socket,Shoulder joint,Suture of the skull,C,The shoulder is a synovial ball-and-socket joint. Skull sutures are fibrous and immovable; the pubic symphysis is a cartilaginous joint.,Expected - RRB Nursing Superintendent | Anatomy - Joints
The hip joint is a:,Ball and socket joint,Saddle joint,Hinge joint,Pivot joint,A,The hip is a ball-and-socket joint between the femoral head and acetabulum. It allows movement in many planes.,Expected - RRB Nursing Superintendent | Anatomy - Joints
The elbow joint is mainly a:,Gliding joint,Ball and socket joint,Hinge joint,Saddle joint,C,The humeroulnar joint is a hinge joint allowing flexion and extension. The proximal radioulnar joint is a pivot for pronation and supination.,Expected - RRB Nursing Superintendent | Anatomy - Joints
How many pairs of ribs are present in humans?,11,14,10,12,D,"There are 12 pairs of ribs (24 ribs): 7 true, 3 false and 2 floating pairs.",Expected - RRB Nursing Superintendent | Anatomy - Thorax
The collarbone is also called the:,Sternum,Humerus,Clavicle,Scapula,C,The clavicle (collarbone) connects the sternum to the scapula and is the most commonly fractured long bone.,Expected - RRB Nursing Superintendent | Anatomy - Upper limb
The bone of the arm (upper arm) is the:,Ulna,Femur,Radius,Humerus,D,The humerus is the bone of the arm between shoulder and elbow. Radius and ulna are forearm bones; femur is the thigh bone.,Expected - RRB Nursing Superintendent | Anatomy - Upper limb
The thigh has how many bones?,Four,Three,Two,One,D,"The thigh contains a single bone, the femur. The leg (below the knee) has tibia and fibula.",Expected - RRB Nursing Superintendent | Anatomy - Lower limb
The largest muscle in the human body is the:,Masseter,Deltoid,Gluteus maximus,Quadriceps,C,Gluteus maximus is the largest muscle. Masseter is often cited as the strongest for its size; sartorius is the longest.,Expected - RRB Nursing Superintendent | Anatomy - Muscular system
The longest muscle in the human body is the:,Latissimus dorsi,Rectus abdominis,Biceps brachii,Sartorius,D,"Sartorius runs from the anterior superior iliac spine to the medial tibia. It flexes, abducts and laterally rotates the hip.",Expected - RRB Nursing Superintendent | Anatomy - Muscular system
The chief muscle of respiration is the:,Intercostal muscles,Pectoralis major,Diaphragm,Sternocleidomastoid,C,The diaphragm is the primary muscle of inspiration. It is supplied by the phrenic nerve (C3-C5). Intercostals assist breathing.,Expected - RRB Nursing Superintendent | Anatomy - Muscular system
The diaphragm is supplied by the:,Vagus nerve,Phrenic nerve,Intercostal nerves only,Recurrent laryngeal nerve,B,"The phrenic nerve (C3, C4, C5) motor-supplies the diaphragm. Injury can cause hemidiaphragm paralysis.",Expected - RRB Nursing Superintendent | Anatomy - Muscular system
Which extraocular muscle is primarily responsible for abduction of the eye and outward rotation of the eyeball?,Superior rectus,Medial rectus,Lateral rectus,Inferior rectus,C,Lateral rectus abducts the eye and is supplied by the abducens nerve (CN VI). Medial rectus adducts the eye.,"Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Anatomy"
What is the name of the muscle that extends from the sphenoid bone to the mandible?,Pterygoid,Masseter,Sternocleidomastoid,Trapezius,A,Medial and lateral pterygoid muscles arise from the sphenoid (pterygoid process) and insert on the mandible. They assist mastication.,"Previous Year - RRB Staff Nurse 2019, 20 July Shift III | Anatomy"
The muscle used for intramuscular injection in the buttock (upper outer quadrant) is mainly the:,Gluteus medius (ventrogluteal/dorsogluteal region),Iliopsoas,Gluteus maximus,Piriformis,A,"IM injections in the hip use gluteus medius/minimus in the ventrogluteal site, or the upper outer quadrant of gluteus maximus, to avoid the sciatic nerve.",Expected - RRB Nursing Superintendent | Anatomy - Muscular system
Hamstring muscles are located in the:,Posterior thigh,Anterior leg,Anterior thigh,Medial arm,A,"Hamstrings (biceps femoris, semitendinosus, semimembranosus) lie in the posterior thigh. They flex the knee and extend the hip.",Expected - RRB Nursing Superintendent | Anatomy - Muscular system
Which of the muscle dysfunction results in Urinary retention?,dartos,cremaster muscles,Detrusor Muscles,Levator ani,C,Detrusor is the smooth muscle of the bladder wall. Failure of detrusor contraction causes inability to empty the bladder (retention).,"Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 2 | Anatomy"
The largest organ of the human body is the:,Skin,Intestine,Lung,Liver,A,"Skin is the largest organ by surface area and weight. It protects, regulates temperature and provides sensation.",Expected - RRB Nursing Superintendent | Anatomy - Integumentary
The outermost layer of the skin is the:,Hypodermis,Dermis,Epidermis,Subcutaneous fat,C,"Skin has epidermis (outer), dermis, and hypodermis (subcutaneous). The epidermis is keratinized stratified squamous epithelium.",Expected - RRB Nursing Superintendent | Anatomy - Integumentary
"Melanin, which gives colour to the skin, is produced by:",Keratinocytes,Merkel cells,Melanocytes,Langerhans cells,C,Melanocytes in the basal epidermis produce melanin. It protects DNA from ultraviolet light and determines skin colour.,Expected - RRB Nursing Superintendent | Anatomy - Integumentary
The heart has how many chambers?,Three,Two,Five,Four,D,The heart has two atria and two ventricles (four chambers). The right side pumps to the lungs; the left side pumps to the body.,Expected - RRB Nursing Superintendent | Anatomy - Heart
The pacemaker of the heart is the:,Purkinje fibres,SA node,Bundle of His,AV node,B,The sinoatrial (SA) node in the right atrium is the primary pacemaker (about 60-100 beats/min). The AV node is the secondary pacemaker.,Expected - RRB Nursing Superintendent | Anatomy - Heart
The valve between the left atrium and left ventricle is the:,Aortic valve,Pulmonary valve,Tricuspid valve,Mitral (bicuspid) valve,D,The mitral (bicuspid) valve is on the left. The tricuspid valve is between the right atrium and right ventricle.,Expected - RRB Nursing Superintendent | Anatomy - Heart
The valve between the right atrium and right ventricle is the:,Aortic valve,Tricuspid valve,Mitral valve,Pulmonary valve,B,The tricuspid valve has three cusps and lies between RA and RV. Semilunar valves are aortic and pulmonary.,Expected - RRB Nursing Superintendent | Anatomy - Heart
Which among the following layer of coronary blood vessels gets blocked and narrowed by fatty substances in atherosclerosis?,Tunica Media,Tunica Adventitia,Tunica intima,Tunica mucosa,C,"Atherosclerotic plaque develops in the tunica intima, narrowing the coronary lumen and causing ischaemia or infarction.","Previous Year - RRB Nursing Superintendent 2025, 29 April Shift 1 | Anatomy"
The largest artery in the body is the:,Femoral artery,Carotid artery,Aorta,Pulmonary artery,C,The aorta arises from the left ventricle and distributes oxygenated blood to the systemic circulation. It is the largest artery.,Expected - RRB Nursing Superintendent | Anatomy - Blood vessels
Deoxygenated blood from the body returns to the heart through the:,Pulmonary artery,Pulmonary veins,Superior and inferior vena cava,Aorta,C,The venae cavae empty into the right atrium. Pulmonary veins carry oxygenated blood from lungs to the left atrium. The pulmonary artery carries deoxygenated blood to the lungs.,Expected - RRB Nursing Superintendent | Anatomy - Blood vessels
Which vessels carry oxygenated blood from the lungs to the heart?,Pulmonary veins,Pulmonary arteries,Superior vena cava,Bronchial arteries,A,Pulmonary veins are the only veins that carry oxygenated blood (from lungs to left atrium). Pulmonary arteries carry deoxygenated blood to the lungs.,Expected - RRB Nursing Superintendent | Anatomy - Circulation
The coronary arteries arise from the:,Superior vena cava,Pulmonary trunk,Left atrium,Ascending aorta,D,Right and left coronary arteries originate from the ascending aorta just above the aortic valve and supply the myocardium.,Expected - RRB Nursing Superintendent | Anatomy - Heart
