question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
Who is known as the Father of the Indian Constitution?,Jawaharlal Nehru,Mahatma Gandhi,Dr. B.R. Ambedkar,Sardar Vallabhbhai Patel,C,Dr. B.R. Ambedkar was the Chairman of the Drafting Committee of the Constituent Assembly and is known as the Father of the Indian Constitution.,General Knowledge | Easy
Which is the national animal of India?,Lion,Tiger,Elephant,Peacock,B,"The Bengal tiger is the national animal of India. The peacock is the national bird, and the Asiatic lion is found mainly in Gir Forest.",General Knowledge | Easy
The headquarters of the World Health Organization (WHO) is located in:,New York,Paris,Geneva,London,C,"WHO is a specialized agency of the United Nations. Its headquarters is in Geneva, Switzerland. New York is the headquarters of the UN.",General Knowledge | Easy
Who was the first President of India?,Dr. Rajendra Prasad,Dr. S. Radhakrishnan,Dr. Zakir Husain,V.V. Giri,A,Dr. Rajendra Prasad was the first President of India (1950-1962). Dr. S. Radhakrishnan was the first Vice-President and the second President.,General Knowledge | Easy
The national anthem of India is:,Vande Mataram,Jana Gana Mana,Sare Jahan Se Achha,Ae Mere Watan Ke Logon,B,"Jana Gana Mana, written by Rabindranath Tagore, is the national anthem of India. Vande Mataram is the national song.",General Knowledge | Easy
How many states are there in India at present?,28,29,27,36,A,"India currently has 28 states and 8 Union Territories. Jammu and Kashmir became a Union Territory in 2019, so the number of states is 28.",General Knowledge | Easy
The currency of Japan is:,Yuan,Yen,Won,Ringgit,B,"The official currency of Japan is the Yen. Yuan is used in China, Won in South Korea, and Ringgit in Malaysia.",General Knowledge | Easy
Which river is known as the Dakshin Ganga?,Krishna,Godavari,Kaveri,Narmada,B,The Godavari is the longest river in peninsular India and is called Dakshin Ganga (Ganga of the South).,General Knowledge | Easy
The Red Cross was founded by:,Florence Nightingale,Henry Dunant,Clara Barton,Louis Pasteur,B,The International Red Cross was founded by Swiss humanitarian Henry Dunant after the Battle of Solferino. Clara Barton founded the American Red Cross. Florence Nightingale is known as the founder of modern nursing.,General Knowledge | Easy
Scurvy is caused by the deficiency of:,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,C,"Scurvy is caused by vitamin C (ascorbic acid) deficiency. Vitamin A deficiency causes night blindness, B12 causes megaloblastic anemia, and D causes rickets or osteomalacia.",General Knowledge | Easy
