question,option_a,option_b,option_c,option_d,correct_answer,explanation,remark
Movement of water across a semipermeable membrane from a dilute to a concentrated solution is called:,Filtration,Osmosis,Diffusion,Active transport,B,"Osmosis is the passive movement of water through a semipermeable membrane toward the side with more solute (higher osmotic pressure). Diffusion is movement of solute from high to low concentration. Active transport uses ATP against a gradient (example: sodium-potassium pump). Filtration is movement of fluid due to hydrostatic pressure, as in the glomerulus. In IV therapy, a hypertonic solution draws water out of cells; a hypotonic solution lets water enter cells.",Expected - RRB Nursing Superintendent | Physiology - Cell physiology
The sodium-potassium pump moves:,3 Na+ out and 2 K+ into the cell,3 Na+ in and 3 K+ out,Equal Na+ and K+ in both directions,2 Na+ in and 3 K+ out of the cell,A,"The Na+/K+ ATPase is active transport: it pumps 3 sodium ions out and 2 potassium ions in for each ATP used. This keeps intracellular K+ high and Na+ low, maintains the resting membrane potential, and controls cell volume. Digitalis drugs inhibit this pump, which is why hypokalemia increases digoxin toxicity. If the pump fails (hypoxia, cold), sodium enters, water follows, and the cell swells.",Expected - RRB Nursing Superintendent | Physiology - Cell physiology
Facilitated diffusion is:,Passive carrier-mediated movement down a concentration gradient,Movement against a concentration gradient using ATP,Movement of water only,Bulk transport by vesicles,A,"Facilitated diffusion uses a membrane protein (carrier or channel) but does not use ATP. Glucose entry into most cells via GLUT transporters is an example. Insulin increases GLUT-4 on muscle and fat cells, so more glucose can enter. It still follows the concentration gradient; insulin does not make it active transport. Contrast this with sodium-glucose cotransport in the kidney and intestine, which is secondary active transport.",Expected - RRB Nursing Superintendent | Physiology - Cell physiology
Phagocytosis is an example of:,Filtration,Endocytosis (bulk transport),Osmosis,Simple diffusion,B,"Phagocytosis is 'cell eating': the cell membrane engulfs particles into a vesicle. Neutrophils and macrophages use it to destroy bacteria. Pinocytosis is 'cell drinking' of fluid. Both are energy-requiring bulk transport, not simple diffusion. After engulfment, the vesicle fuses with a lysosome for digestion. Defective phagocytosis increases infection risk.",Expected - RRB Nursing Superintendent | Physiology - Cell physiology
The resting membrane potential of a typical neuron is about:,-70 mV,+30 mV,0 mV,+70 mV,A,"A resting neuron is negative inside, about -70 mV. This is mainly because the membrane is more permeable to K+ (which leaks out) and because of the Na+/K+ pump. Depolarization toward threshold opens voltage-gated Na+ channels and starts an action potential. Understanding this value helps you interpret tetany, hyperkalemia (cells depolarize) and local anaesthetics (block Na+ channels).",Expected - RRB Nursing Superintendent | Physiology - Nerve-muscle
"In a healthy man who weighs 70 kg, the total body water is approx:",42 liters,52 liters,22 liters,32 liters,A,Total body water is about 60% of body weight in an adult man. For 70 kg: 0.60 x 70 = 42 litres. Roughly two-thirds is intracellular fluid (about 28 L) and one-third is extracellular (about 14 L: 11 L interstitial and 3 L plasma). Women and obese people have a lower percentage of water because fat contains little water. This 42 L figure is a favourite competitive-exam calculation.,Expected - RRB Nursing Superintendent | Physiology - Body fluids
The major cation of extracellular fluid is:,Sodium,Magnesium,Calcium,Potassium,A,"Sodium (Na+) is the main ECF cation (about 135-145 mEq/L). It determines ECF osmolality and volume. Potassium is the main ICF cation (about 140 mEq/L inside cells, 3.5-5.0 mEq/L in plasma). Calcium and magnesium are present in smaller amounts. Low plasma sodium (hyponatremia) causes brain swelling; high sodium causes thirst and cellular dehydration.",Expected - RRB Nursing Superintendent | Physiology - Electrolytes
Osmotic pressure and acid-base balance of body fluids are maintained by,Sodium,Magnesium,Fluorine,Zinc,A,"Sodium is the chief ECF cation and accounts for most of plasma osmolality, so it controls water distribution between cells and ECF. Sodium bicarbonate is also a major buffer in acid-base balance. Magnesium is important for enzymes and neuromuscular function, zinc for enzymes and immunity, and fluoride for teeth—not for bulk osmotic or acid-base control. Excess dietary sodium is linked to hypertension in salt-sensitive people.","Previous Year - RRB Staff Nurse 2019, 21 July Shift I | Physiology"
The normal plasma sodium level is about:,22-26 mEq/L,3.5-5.0 mEq/L,8.5-10.5 mg/dL,135-145 mEq/L,D,"Serum sodium is 135-145 mEq/L (some papers print 135-143). Potassium is 3.5-5.0 mEq/L. Calcium is about 8.5-10.5 mg/dL. Bicarbonate is 22-26 mEq/L. Always match the unit: sodium is in mEq/L, not mg/dL. Hyponatremia presents with confusion and seizures; hypernatremia with thirst and dry mucosa.",Expected - RRB Nursing Superintendent | Physiology - Electrolytes
The major cation of intracellular fluid is:,Potassium,Chloride,Sodium,Bicarbonate,A,"Potassium is concentrated inside cells by the Na+/K+ pump. Plasma K+ is only 3.5-5.0 mEq/L, but a small rise is dangerous because it affects the heart (peaked T waves, wide QRS, arrest). Acidosis, tissue injury and renal failure shift or retain K+ and cause hyperkalemia. Insulin, alkalosis and catecholamines drive K+ into cells.",Expected - RRB Nursing Superintendent | Physiology - Electrolytes
